Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
e4805307b7eecd5aa37007cda975464a97fbc533055c5ee96a2ad71d2e3982b2,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.131997,52.225825,On or near Sports/Recreation Area,E01017975,Cambridge 001A,Bicycle theft,Investigation complete; no suspect identified,
ec9690808dab0e5f8cebf42659f4896502fda822da83efbfdfeb2e9551196cb1,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.138574,52.229842,On or near Beales Way,E01017977,Cambridge 001C,Bicycle theft,Investigation complete; no suspect identified,
95156e56fed981e16325f22344a693387c94e4d62f63a81de301a0e66f5e5214,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136952,52.229908,On or near Supermarket,E01017977,Cambridge 001C,Bicycle theft,Investigation complete; no suspect identified,
27ca45a1fa2a8608abc1247aff71d1c791fae5d310cde30c7569a3b1404bc46f,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127962,52.232381,On or near Apollo Way,E01017979,Cambridge 001E,Bicycle theft,Investigation complete; no suspect identified,
ea118f7b8d5f9b86f75e7f8f9cbc0d548bd44bb33837a7f4b9fe68531bcc9bbf,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127962,52.232381,On or near Apollo Way,E01017979,Cambridge 001E,Bicycle theft,Investigation complete; no suspect identified,
fc4aa118b961f8067eaf260b27795a6b775d4a31aacebe45ea2448399bc843f2,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.113198,52.216605,On or near Bermuda Road,E01017949,Cambridge 002A,Bicycle theft,Investigation complete; no suspect identified,
2cfa8bcb45025da96e2291c0573d210b9a7c8e8c35a0096388c9716981a8d858,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.115260,52.215021,On or near St Lukes Street,E01017950,Cambridge 002B,Bicycle theft,Investigation complete; no suspect identified,
f7002fc32e0f6e48431757a0e5d77b5edcbf87b9ed8b9e322e5261cb7df2206d,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.113290,52.220712,On or near Francis Darwin Court,E01017953,Cambridge 002E,Bicycle theft,Investigation complete; no suspect identified,
0982344e592daff7e165880abf3d89d5612a707af0cf6906a4e0d7a107fef347,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.149489,52.230552,On or near Parking Area,E01017971,Cambridge 003B,Bicycle theft,Investigation complete; no suspect identified,
77923ce7e5c53f2197e67c850abcea999caa7f215b6d94388a1dc754b6ca37c6,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.149489,52.230552,On or near Parking Area,E01017971,Cambridge 003B,Bicycle theft,Investigation complete; no suspect identified,
6b5c1ec58df0257410e3524bd4d0fe13b14e318a8ada36d21edcbd6b63d861bb,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.147769,52.218579,On or near Water Street,E01017972,Cambridge 003C,Bicycle theft,Investigation complete; no suspect identified,
913f768995ed41fb6132e43e44f86b871bba478bed8cc7ed2c98f0eae8a56cf1,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.151804,52.220277,On or near Izaak Walton Way,E01017972,Cambridge 003C,Bicycle theft,Investigation complete; no suspect identified,
f7a7f31a87fa584e2714a250468fb2e4d82fcf24f4450f0ee19ae573c3c0430f,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.144549,52.217990,On or near Ferry Lane,E01032802,Cambridge 003G,Bicycle theft,Investigation complete; no suspect identified,
e95db010285e017b9e29883b4f661c959687f4ed33946911ced01e35a6f558e2,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127399,52.222743,On or near Highfield Avenue,E01018007,Cambridge 004B,Bicycle theft,Investigation complete; no suspect identified,
a865b9e2573b01fab433bce65be3f3e55d17b4dcc6882b88c9c6de0dfcd51fdc,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.128176,52.218476,On or near Ascham Road,E01018007,Cambridge 004B,Bicycle theft,Investigation complete; no suspect identified,
a1123c748aa2e0d62ec74d06a255ef5f3431fbc2b429c4b300b2129a95a09a47,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.134099,52.214385,On or near Montague Road,E01018008,Cambridge 004C,Bicycle theft,Investigation complete; no suspect identified,
4e33296afa10533840694eed90ebb847d4f272ac1c29c0efe7589cd6be29adb7,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.118901,52.218310,On or near Garden Walk,E01018009,Cambridge 004D,Bicycle theft,Investigation complete; no suspect identified,
028ab7c0c43378f1b23586d4cae54950187527935f632419bc08f6ad68f73ab0,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.122481,52.216330,On or near Sports/Recreation Area,E01018009,Cambridge 004D,Bicycle theft,Investigation complete; no suspect identified,
7ade841102c99c216bf61f56d27f3a8c950a365b4a5ad21161c1cfc78d50c9cf,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127181,52.214510,On or near Supermarket,E01018009,Cambridge 004D,Bicycle theft,Court result unavailable,
bf7838242389cc3e5dfe44d888092091f5aa1935d93e60f6c57a1c09102fb8bc,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133764,52.211055,On or near Pentlands Close,E01018010,Cambridge 004E,Bicycle theft,Investigation complete; no suspect identified,
587706c7d5f591ce8b7d8796f086ecf5d1ff4e71468fc7899b2732303fe2ccd4,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129854,52.214399,On or near Hamilton Road,E01018010,Cambridge 004E,Bicycle theft,Investigation complete; no suspect identified,
aa4b15003865e5bdd6edfcd55456163212161872915852b2ef521cf4bc2e3e93,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136055,52.212138,On or near Cutter Ferry Close,E01018010,Cambridge 004E,Bicycle theft,Investigation complete; no suspect identified,
773ac4ae26ec60c670585815ad50f54f22730fef0be72d05b7f0cf8ed7ca7b88,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.131582,52.213478,On or near De Freville Avenue,E01018010,Cambridge 004E,Bicycle theft,Investigation complete; no suspect identified,
ebd3f4f58e6883111bc51ce32fca5a19b9c6dcc93cabcc6cd1f691ab968fa0f4,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129296,52.212206,On or near Banhams Close,E01018010,Cambridge 004E,Bicycle theft,Investigation complete; no suspect identified,
817b3a8177aec319f2bbc0063c28cb7e12ab63b9de2d481c66b03f6d4fa9a58a,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133922,52.213453,On or near Humberstone Road,E01018010,Cambridge 004E,Bicycle theft,Investigation complete; no suspect identified,
9e3166414346dcdc0d3fc46abf82f4dedeeb9afc70a390aa283bd5688453b32b,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136055,52.212138,On or near Cutter Ferry Close,E01018010,Cambridge 004E,Bicycle theft,Investigation complete; no suspect identified,
a828576051d24e00e26066c510034e4394329ea8658a524a5e7df711d49b29a0,2014-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.094850,52.223658,On or near Whitehouse Lane,E01017956,Cambridge 005B,Bicycle theft,Investigation complete; no suspect identified,
